geopol_unit,2012,2013,2014,2015,2016,2017
ALABAMA,31312,32264,34878,42656,34966,49084
ARIZONA,181328,145117,208844,198746,190008,297145
ARKANSAS,157168,233958,245172,203701,246363,323125
CALIFORNIA,667552032,728939759,709647220,638173762,680272512,716309505
COLORADO,344089,327414,368890,449679,556994,602424
CONNECTICUT,122628,124086,147516,168896,134517,163862
FLORIDA,1946162,2026230,1897279,1838211,1634103,1598342
GEORGIA,147734,132606,208025,222351,276144,38961166
IDAHO,315615,805280,883238,576645,497007,453819
ILLINOIS,374088,399157,373089,361234,391805,431305
INDIANA,1069775,1100872,1119458,1160119,1411540,1413348
IOWA,243571,286775,252864,253137,335522,352144
KANSAS,68504,49986,72301,85038,104129,101409
KENTUCKY,2379512,2241527,1666152,1643376,2176059,2462440
LOUISIANA,30071,25189,31592,30763,38232,34907
MAINE,43136,52544,65203,81203,48222,44219
MARYLAND,337231,337226,417027,476421,436185,408610
MASSACHUSETTS,268911,300907,413729,697196,792884,891663
MICHIGAN,1347837,2180359,1752699,2064168,2576238,3389454
MINNESOTA,154753,186545,185225,370093,331946,395654
MISSOURI,1034917,1250654,1004372,1134126,993831,1206061
MONTANA,18375,41356,25663,38741,33445,105253
NEBRASKA,81641,122094,80857,90261,120366,134732
NEW HAMPSHIRE,89494,95565,121325,136270,159316,171783
NEW JERSEY,1561365,1329932,1448259,1492655,1832325,1560678
NEW MEXICO,742873,503708,1009358,737645,749818,780512
NEW YORK,26404066,27150759,34616418,30707698,27969308,28172209
NORTH CAROLINA,1215332,1351975,1376826,1538218,1903080,2352073
OHIO,3048054,3277838,4487434,5716702,5938738,5054566
OKLAHOMA,48496,49712,65706,69309,70204,60342
OREGON,6829808,7948408,11698997,13379563,11822972,13602710
PENNSYLVANIA,3589603,10272127,15479868,15513532,12405181,12277544
SOUTH CAROLINA,19373,32764,21015,28931,77842,54560
SOUTH DAKOTA,61609,53211,86225,85720,139738,35782
TENNESSEE,296436,1144283,2340348,1646831,1279752,862866
TEXAS,1376144,747338,995798,1424362,1907299,2614607
VERMONT,4205258,4315420,3808701,3255902,2172526,2035115
VIRGINIA,1033191,1261104,1659365,1962099,2157395,2337979
WASHINGTON,24506226,34144441,34011480,38730324,40747190,44824096
WEST VIRGINIA,43879,32478,26608,24214,40733,49499
WISCONSIN,612885,833612,858930,1019377,1129405,1251368
OTHERS,206292,219913,254689,258901,312051,354383