Continent,Country,Region,Sub-Region,Latitude,Longitude,Decimal Lat,Decimal Long
Africa,Algiera,Algiers,,36°45′14″N,3°3′32″E,36.75388889,3.058888889
Africa,Algiera,Béjaïa,,36°45′N,5°04′E,36.75,5.066666667
Africa,Algiera,Chlef Province,Dahra,35.425165°N,0.315127°W,35.425165,-0.315127
Africa,Algiera,Mascara,,35°24′N,0°8′E,35.4,0.133333333
Africa,Algiera,Médéa,,36°16′N,2°45′E,36.26666667,2.75
Africa,Algiera,Tlemcen,,34°52′58″N,01°19′00″W,34.88277778,-1.316666667
Africa,Algiera,Zaccar,,34.43083°N,3.32722°E,34.43083,3.32722
Africa,Cape Verde,Chã das Caldeiras,,14.971°N,24.367°W,14.971,-24.367
Africa,Morocco,Atlas Mountains,,31°03′43″N,07°54′58″W,31.06194444,-7.916111111
Africa,Morocco,Benslimane,,33.617°N,7.117°W,33.617,-7.117
Africa,Morocco,Meknès,,33°53′42″N,5°33′17″W,33.895,-5.554722222
Africa,South Africa,Breede River Valley,,33.750°S,19.500°E,-33.75,19.5
Africa,South Africa,Constantia,,34°01′53″S,18°25′06″E,-34.03138889,18.41833333
Africa,South Africa,Durbanville,,33.83250°S,18.64750°E,-33.8325,18.6475
Africa,South Africa,Elgin,,-34.15,19.033,-34.15,19.033
Americas,South Africa,Elim,,34°35′30″S,19°45′30″E,-34.59166667,19.75833333
Americas,South Africa,Franschhoek,,33°55′S,19°08′E,-33.91666667,19.13333333
Americas,South Africa,Little Karoo,,32.350°S,22.567°E,-32.35,22.567
Americas,South Africa,Orange River Valley,,-28.6333308,16.4499982,-28.6333308,16.4499982
Americas,South Africa,Paarl,,33°43′27″S,18°57′21″E,-33.72416667,18.95583333
Americas,South Africa,Robertson,,33°48′S,19°53′E,-33.8,19.88333333
Americas,South Africa,Stellenbosch,,33°56′12″S,18°51′41″E,-33.93666667,18.86138889
Americas,South Africa,Swartland,,33.367°S,18.783°E,-33.367,18.783
Americas,South Africa,Tulbagh,,33°17′6″S,19°8′16″E,-33.285,19.13777778
Americas,Tunisia,Arianah,,36.862499,10.195556,36.862499,10.195556
Americas,Tunisia,Nabul,,36°27′15″N,10°44′5″E,36.45416667,10.73472222
Americas,Tunisia,Sousse,,35°50′N,10°38′E,35.83333333,10.63333333
Americas,Argentina,Buenos Aires Province,Médanos,38°49′S,62°40′W,-38.81666667,-62.66666667
Americas,Argentina,Catamarca Province,,28.467°S,65.783°W,-28.467,-65.783
Americas,Argentina,La Rioja Province,,29°26′S,66°51′W,-29.43333333,-66.85
Americas,Argentina,Mendoza Province,,32.89028°S,68.84722°W,-32.89028,-68.84722
Americas,Argentina,Neuquén Province,,38.95167°S,68.07444°W,-38.95167,-68.07444
Americas,Argentina,Río Negro Province,,40°48′S,63°00′W,-40.8,-63
Americas,Argentina,Salta Province,,24.783°S,65.417°W,-24.783,-65.417
Americas,Argentina,San Juan Province,,30.87°S,68.98°W,-30.87,-68.98
Americas,Bolivia,Tarija Department,,21°35′S,63°50′W,-21.58333333,-63.83333333
Americas,Brazil,Bahia,Curaçá,08°59′31″S,39°54′28″W,-8.991944444,-39.90777778
Americas,Brazil,Bahia,Irecê,11.30389°S,42.85583°W,-11.30389,-42.85583
Americas,Brazil,Bahia,Juazeiro,09°25′50″S,40°30′10″W,-9.430555556,-40.50277778
Americas,Brazil,Mato Grosso,Nova Mutum,13°50′16″S,56°05′02″W,-13.83777778,-56.08388889
Americas,Brazil,Minas Gerais,Andradas,22.06778°S,46.56889°W,-22.06778,-46.56889
Americas,Brazil,Minas Gerais,Caldas,21°55′26″S,46°23′09″W,-21.92388889,-46.38583333
Americas,Brazil,Minas Gerais,Pirapora,17°20′52″S,44°56′37″W,-17.34777778,-44.94361111
Americas,Brazil,Minas Gerais,Santa Rita de Caldas,22.02889°S,46.33694°W,-22.02889,-46.33694
Americas,Brazil,Paraná,Bandeirantes,23°06′36″S,50°22′04″W,-23.11,-50.36777778
Americas,Brazil,Paraná,Marialva,23.467°S,51.700°W,-23.467,-51.7
Americas,Brazil,Paraná,Maringá,23°24′S,51°55′W,-23.4,-51.91666667
Americas,Brazil,Paraná,Rosário do Ivaí,24.2778°S,51.275°W,-24.2778,-51.275
Americas,Brazil,Pernambuco,Casa Nova,9°09′43″S,40°58′15″W,-9.161944444,-40.97083333
Americas,Brazil,Pernambuco,Petrolina,09°23′34″S,40°30′28″W,-9.392777778,-40.50777778
Americas,Brazil,Pernambuco,Santa Maria da Boa Vista,8.80889°S,39.82500°W,-8.80889,-39.825
Americas,Brazil,Rio Grande do Sul,Bento Gonçalves,29°10′15″S,51°31′08″W,-29.17083333,-51.51888889
Americas,Brazil,Rio Grande do Sul,Caxias do Sul,29°10′00″S,51°11′00″W,-29.16666667,-51.18333333
Americas,Brazil,Rio Grande do Sul,Cotiporã,29°01′S,51°42′W,-29.01666667,-51.7
Americas,Brazil,Rio Grande do Sul,Garibaldi,29°17′20″S,51°33′51″W,-29.28888889,-51.56416667
Americas,Brazil,Santa Catarina,Pinheiro Preto,27.050°S,51.200°W,-27.05,-51.2
Americas,Brazil,Santa Catarina,São Joaquim,28°17′38″S,49°55′55″W,-28.29388889,-49.93194444
Americas,Brazil,Santa Catarina,Tangará,27°06′18″S,51°14′49″W,-27.105,-51.24694444
Americas,Brazil,São Paulo,Jundiaí,23°11′11″S,46°53′02″W,-23.18638889,-46.88388889
Americas,Brazil,São Paulo,São Roque,23°31′45″S,47°08′07″W,-23.52916667,-47.13527778
Americas,Canada,British Columbia,Fraser Valley,49.10833°N,122.29167°W,49.10833,-122.29167
Americas,Canada,British Columbia,Gulf Islands,48.950°N,123.533°W,48.95,-123.533
Americas,Canada,British Columbia,Okanagan Valley,49.74778°N,119.71722°W,49.74778,-119.71722
Americas,Canada,British Columbia,Similkameen Valley,49.21667°N,119.96667°W,49.21667,-119.96667
Americas,Canada,British Columbia,Vancouver Island,49°30′N,125°30′W,49.5,-125.5
Americas,Canada,Nova Scotia,Annapolis Valley,45.000°N,64.917°W,45,-64.917
Americas,Canada,Ontario,Lake Erie North Shore and Pelee Island,41.7667°N,82.6409°W,41.7667,-82.6409
Americas,Canada,Ontario,Niagara Peninsula,43.00°N,79.50°W,43,-79.5
Americas,Canada,Ontario,Prince Edward County,44°00′N,77°15′W,44,-77.25
Americas,Canada,Ontario,Toronto,43°44′30″N,79°22′24″W,43.74166667,-79.37333333
Americas,Canada,Quebec,Eastern Townships,45.4814°N,71.6678°W,45.4814,71.6678
Americas,Chile,Aconcagua,Aconcagua Valley,32°42′S,70°45′W,-32.7,-70.75
Americas,Chile,Aconcagua,Casablanca Valley,33°19′S,71°25′W,-33.31666667,-71.41666667
Americas,Chile,Atacama,Copiapó Valley,27°21′59″S,70°19′59″W,-27.36638889,-70.33305556
Americas,Chile,Atacama,Huasco Valley,28.43389°S,71.20306°W,-28.43389,-71.20306
Americas,Chile,Central Valley,Cachapoal Valley,34.27472°S,71.43472°W,-34.27472,-71.43472
Americas,Chile,Central Valley,Maipo Valley,33°45′S,70°46′W,-33.75,-70.76666667
Americas,Chile,Central Valley,Mataquito Valley,34.9722°S,72.1858°W,-34.9722,-72.1858
Americas,Chile,Central Valley,Maule Valley,35.525505°S,71.687175°W,-35.525505,-71.687175
Americas,Chile,Coquimbo,Choapa Valley,31.62778°S,71.55833°W,-31.62778,-71.55833
Americas,Chile,Coquimbo,Elqui Valley,29°53′40″S,71°16′30″W,-29.89444444,-71.275
Americas,Chile,Coquimbo,Limarí,30.7294°S,71.6958°W,-30.7294,-71.6958
Americas,Chile,Pica,,20°29′21″S,69°19′46″W,-20.48916667,-69.32944444
Americas,Chile,Southern Chile,Bío-Bío Valley,36.8194°S,73.1644°W,-36.8194,-73.1644
Americas,Chile,Southern Chile,Itata Valley,36°37′00″S,71°57′00″W,-36.61666667,-71.95
Americas,Chile,Southern Chile,Malleco Valley,38°15′S,72°15′W,-38.25,-72.25
Americas,Mexico,Aguascalientes,Aguascalientes Valley,22°1′N,102°21′W,22.01666667,-102.35
Americas,Mexico,Baja California,Valle de Guadalupe,32°05′52″N,116°34′01″W,32.09777778,-116.5669444
Americas,Mexico,Baja California,Valle de Calafia,32.096658,-116.569937,32.096658,-116.569937
Americas,Mexico,Baja California,Valle de Mexicali,31°45′N,115°15′W,31.75,-115.25
Americas,Mexico,Baja California,Valle de San Vicente,31.333192,-116.166724,31.333192,-116.166724
Americas,Mexico,Baja California,Valle de Santo Tomás,31.785671,-116.573503,31.785671,-116.573503
Americas,Mexico,Baja California,Zona Tecate,32.565294,-116.655193,32.565294,-116.655193
Americas,Mexico,Coahuila / Durango,Valle de Parras,25.457371,-102.179288,25.457371,-102.179288
Americas,Mexico,Guanajuato,San Miguel de Allende,21.053818,-100.798948,21.053818,-100.798948
Americas,Mexico,Hidalgo,,20°29′N,98°52′W,20.48333333,-98.86666667
Americas,Mexico,Nuevo León,Valle de Las Maravillas,25.68517,-100.195923,25.68517,-100.195923
Americas,Mexico,Querétaro,Valle de Tequisquiapan,22.158205,-100.993387,22.158205,-100.993387
Americas,Mexico,Sonora,Caborca,30°43′N,112°09′W,30.71666667,-112.15
Americas,Mexico,Sonora,Hermosillo,29°05′56″N,110°57′15″W,29.09888889,-110.9541667
Americas,Mexico,Zacatecas,Valle de las Arcinas,22.756529,-102.590929,22.756529,-102.590929
Americas,Peru,Arequipa region valleys,,16°23′S,71°32′W,-16.38333333,-71.53333333
Americas,Peru,Huaral District and Cañete Province – both in Lima Region,,12.043333°S,77.028333°W,-12.043333,-77.028333
Americas,Peru,Ica Region – including Chincha,,14.07°S,75.73°W,-14.07,-75.73
Americas,United States,Arizona,Sonoita ,,,31.678345,-110.652811
Americas,United States,Arizona,Willcox,,,32.303584,-109.791066
Americas,United States,Arkansas,Altus,35°27′17″N,93°46′19″W,35.45472222,-93.77194444
Americas,United States,California,adelaida district,,,35.6481297,-120.82812
Americas,United States,California,alexander valley,,,38.7228912,-122.88744
Americas,United States,California,alta mesa,,,38.3475023,-121.28662
Americas,United States,California,anderson valley,,,39.0750157,-123.46515
Americas,United States,California,antelope valley of the california high desert,,,34.7118372,-118.15279
Americas,United States,California,arroyo grande valley,,,35.1481436,-120.49254
Americas,United States,California,arroyo seco,,,36.320344,-121.28898
Americas,United States,California,atlas peak,,,38.4242054,-122.26135
Americas,United States,California,ballard canyon,,,34.6441794,-120.15155
Americas,United States,California,ben lomond mountain,,,37.0809438,-122.15633
Americas,United States,California,benmore valley,,,39.0100415,-123.02063
Americas,United States,California,bennett valley,,,38.3900797,-122.62954
Americas,United States,California,big valley district lake county,,,38.9999063,-122.8607
Americas,United States,California,borden ranch,,,38.3188973,-121.10653
Americas,United States,California,california shenandoah valley,,,38.529253,-120.80586
Americas,United States,California,calistoga,,,38.5890787,-122.57548
Americas,United States,California,capay valley,,,38.7972301,-122.21648
Americas,United States,California,carmel valley,,,36.4219418,-121.68916
Americas,United States,California,central coast,,,36.2682257,-121.21696
Americas,United States,California,chalk hill,,,38.5685526,-122.75842
Americas,United States,California,chalone,,,36.4748982,-121.25095
Americas,United States,California,chiles valley,,,38.5453235,-122.34642
Americas,United States,California,cienega valley,,,36.7172937,-121.35881
Americas,United States,California,clarksburg,,,38.3637977,-121.55324
Americas,United States,California,clear lake,,,39.0154056,-122.78585
Americas,United States,California,clements hills,,,38.1439825,-121.06004
Americas,United States,California,cole ranch,,,39.0612574,-123.22443
Americas,United States,California,coombsville,,,38.3073513,-122.24024
Americas,United States,California,cosumnes river,,,38.3249418,-121.39786
Americas,United States,California,covelo,,,39.7935143,-123.23169
Americas,United States,California,creston district,,,35.5032445,-120.47015
Americas,United States,California,cucamonga valley,,,34.0740427,-117.51006
Americas,United States,California,diablo grande,,,37.3574444,-121.2665
Americas,United States,California,diamond mountain district,,,38.5594207,-122.57777
Americas,United States,California,dos rios,,,39.7279765,-123.3532
Americas,United States,California,dry creek valley,,,38.6593176,-122.99362
Americas,United States,California,dunnigan hills,,,38.800298,-121.96104
Americas,United States,California,eagle peak mendocino county,,,39.2943472,-123.31817
Americas,United States,California,edna valley,,,35.22527,-120.61865
Americas,United States,California,el dorado,,,38.738468,-120.74373
Americas,United States,California,el pomar district,,,35.5623108,-120.61199
Americas,United States,California,fair play,,,38.597249,-120.67246
Americas,United States,California,fiddletown,,,38.4930096,-120.74473
Americas,United States,California,fort ross seaview,,,38.5823228,-123.23125
Americas,United States,California,fountaingrove district,,,38.5102958,-122.63395
Americas,United States,California,green valley of russian river,,,38.4334976,-122.89553
Americas,United States,California,guenoc valley,,,38.7424965,-122.51302
Americas,United States,California,hames valley,,,35.8837334,-120.88324
Americas,United States,California,happy canyon of santa barbara,,,34.6597913,-120.00144
Americas,United States,California,high valley,,,39.0432,-122.67445
Americas,United States,California,howell mountain,,,38.5863561,-122.45983
Americas,United States,California,inwood valley,,,40.5175407,-121.96836
Americas,United States,California,jahant,,,38.2202033,-121.27185
Americas,United States,California,kelsey bench lake county,,,38.9487155,-122.85926
Americas,United States,California,knights valley,,,38.6565901,-122.69197
Americas,United States,California,lamorinda,,,37.8705406,-122.13608
Americas,United States,California,leona valley,,,34.6146341,-118.29698
Americas,United States,California,lime kiln valley,,,36.6934878,-121.33795
Americas,United States,California,livermore valley,,,37.7008519,-121.8387
Americas,United States,California,lodi,,,38.2329501,-121.19512
Americas,United States,California,los carneros,,,38.2451295,-122.40284
Americas,United States,California,los olivos district,,,34.6248221,-120.08705
Americas,United States,California,madera,,,36.9582651,-120.17716
Americas,United States,California,malibu coast,,,34.1030954,-118.82237
Americas,United States,California,malibu newton canyon,,,34.0814149,-118.80022
Americas,United States,California,manton valley,,,40.4327359,-121.83042
Americas,United States,California,mcdowell valley,,,38.9691614,-123.04732
Americas,United States,California,mendocino,,,39.0844214,-123.22238
Americas,United States,California,mendocino ridge,,,38.9518907,-123.53982
Americas,United States,California,merritt island,,,38.3706622,-121.54234
Americas,United States,California,mokelumne river,,,38.1311948,-121.28246
Americas,United States,California,monterey,,,36.4306757,-121.39028
Americas,United States,California,moon mountain district sonoma county,,,38.3581608,-122.46698
Americas,United States,California,mt  harlan,,,36.6962382,-121.4123
Americas,United States,California,mt veeder,,,38.3573611,-122.40996
Americas,United States,California,napa valley,,,38.4598831,-122.34666
Americas,United States,California,north coast,,,38.7915894,-122.96233
Americas,United States,California,north yuba,,,39.3625505,-121.24284
Americas,United States,California,northern sonoma,,,38.583547,-122.8843
Americas,United States,California,oak knoll district of napa valley,,,38.3472694,-122.32311
Americas,United States,California,oakville,,,38.4372655,-122.38447
Americas,United States,California,pacheco pass,,,36.9685244,-121.37386
Americas,United States,California,paicines,,,36.6938731,-121.25925
Americas,United States,California,paso robles,,,35.6167299,-120.53909
Americas,United States,California,paso robles estrella district,,,35.7040049,-120.56534
Americas,United States,California,paso robles geneseo district,,,35.6279349,-120.58205
Americas,United States,California,paso robles highlands district,,,35.5094304,-120.30961
Americas,United States,California,paso robles willow creek district,,,35.5859892,-120.76163
Americas,United States,California,petaluma gap,,,38.2475805,-122.72743
Americas,United States,California,pine mountain cloverdale peak,,,38.8555333,-122.97207
Americas,United States,California,potter valley,,,39.301958,-123.09551
Americas,United States,California,ramona valley,,,33.0225845,-116.84434
Americas,United States,California,red hills lake county,,,38.9176522,-122.71834
Americas,United States,California,redwood valley,,,39.3006747,-123.19655
Americas,United States,California,river junction,,,37.6761014,-121.24113
Americas,United States,California,rockpile,,,38.7604361,-123.15738
Americas,United States,California,russian river valley,,,38.4787004,-122.83435
Americas,United States,California,rutherford,,,38.4681635,-122.41929
Americas,United States,California,saddle rock  malibu,,,34.0979192,-118.8296
Americas,United States,California,salado creek,,,37.4383951,-121.14603
Americas,United States,California,san antonio valley,,,35.9388628,-121.09155
Americas,United States,California,san benito,,,36.7249828,-121.30038
Americas,United States,California,san bernabe,,,36.1362691,-121.1049
Americas,United States,California,san francisco bay,,,37.4895549,-122.0412
Americas,United States,California,san juan creek,,,35.6222872,-120.36967
Americas,United States,California,san lucas,,,36.0717475,-120.97505
Americas,United States,California,san miguel district,,,35.7463726,-120.69323
Americas,United States,California,san pasqual valley,,,33.0793984,-117.0166
Americas,United States,California,san ysidro district,,,37.0056305,-121.49364
Americas,United States,California,santa clara valley,,,37.2309258,-121.80879
Americas,United States,California,santa cruz mountains,,,37.1822604,-122.08883
Americas,United States,California,santa lucia highlands,,,36.4131273,-121.41969
Americas,United States,California,santa margarita ranch,,,35.3798462,-120.58707
Americas,United States,California,santa maria valley,,,34.8986007,-120.28622
Americas,United States,California,santa ynez valley,,,34.6401427,-120.15475
Americas,United States,California,seiad valley,,,41.8418085,-123.18787
Americas,United States,California,sierra foothills,,,38.3405627,-120.65216
Americas,United States,California,sierra pelona valley,,,34.5127497,-118.30849
Americas,United States,California,sloughhouse,,,38.4562289,-121.14371
Americas,United States,California,solano county green valley,,,38.2627689,-122.16844
Americas,United States,California,sonoma coast,,,38.4268109,-122.89377
Americas,United States,California,sonoma mountain,,,38.3573906,-122.56184
Americas,United States,California,sonoma valley,,,38.3195544,-122.49987
Americas,United States,California,south coast,,,33.2277845,-117.21121
Americas,United States,California,spring mountain district,,,38.5130708,-122.5233
Americas,United States,California,squaw valley miramonte,,,36.7212002,-119.15107
Americas,United States,California,st  helena,,,38.5141031,-122.46743
Americas,United States,California,sta  rita hills,,,34.6343789,-120.32263
Americas,United States,California,stags leap district,,,38.4034693,-122.32668
Americas,United States,California,suisun valley,,,38.2679258,-122.09488
Americas,United States,California,temecula valley,,,33.5152739,-117.18613
Americas,United States,California,templeton gap district,,,35.5528724,-120.70771
Americas,United States,California,tracy hills,,,37.6380719,-121.36988
Americas,United States,California,trinity lakes,,,40.8718376,-122.75107
Americas,United States,California,wild horse valley,,,38.2927781,-122.19522
Americas,United States,California,willow creek,,,40.9287521,-123.61764
Americas,United States,California,york mountain,,,35.55182,-120.8252
Americas,United States,California,yorkville highlands,,,38.9039485,-123.20731
Americas,United States,California,yountville,,,38.3966434,-122.36711
Americas,United States,Colorado,Grand Valley,39°11′N,108°43′W,39.18333333,-108.7166667
Americas,United States,Colorado,West Elks,,,38.814947,-107.779611
Americas,United States,Connecticut,Western Connecticut Highlands,,,41.822405,-73.059142
Americas,United States,Florida,,,,28.635889,-81.490569
Americas,United States,Georgia,Dahlonega Plateau,,,34.609996,-83.878876
Americas,United States,Idaho,Eagle Foothills,,,43.522416,-116.461545
Americas,United States,Illinois,Shawnee Hills,,,37.41767,-88.879583
Americas,United States,Iowa,Loess Hills District,,,41.298342,-95.763142
Americas,United States,Iowa,Upper Mississippi River Valley,,,43.263109,-91.568128
Americas,United States,Indiana,Indiana Uplands,,,38.211347,-86.010029
Americas,United States,Indiana,Ohio River Valley,,,38.797777,-85.360559
Americas,United States,Kentucky,Ohio River Valley,,,38.83013,-84.617273
Americas,United States,Louisiana,,,,30.832217,-90.875755
Americas,United States,Maine,,,,44.273125,-69.078638
Americas,United States,Maryland,Catoctin,,,39.426627,-77.663776
Americas,United States,Maryland,Linganore,,,39.476612,-77.17493
Americas,United States,Massachusetts,Martha's Vineyard,,,41.386288,-70.65467
Americas,United States,Michigan,Lake Michigan Shore,42.2°N,86.1°W,42.2,-86.1
Americas,United States,Michigan,Leelanau Peninsula,45.05°N,85.655°W,45.05,-85.655
Americas,United States,Michigan,Old Mission Peninsula,44.87806°N,85.53139°W,44.87806,-85.53139
Americas,United States,Minnesota,Alexandria Lakes,45.967°N,95.383°W,45.967,-95.383
Americas,United States,Minnesota,Upper Mississippi Valley,47.253°N,95.212°W,47.253,-95.212
Americas,United States,Missouri,Augusta,38°34′20″N,90°52′55″W,38.57222222,-90.88194444
Americas,United States,Missouri,Hermann,38°41′57″N,91°26′21″W,38.69916667,-91.43916667
Americas,United States,Missouri,Ozark Highlands,36.568447,-93.099533,36.568447,-93.099533
