"","global_atc","global_bio_01","global_bio_02","global_bio_03","global_bio_04","global_bio_05","global_bio_06","global_bio_07","global_bio_08","global_bio_09","global_bio_10","global_bio_11","global_bio_12","global_bio_13","global_bio_14","global_bio_15","global_bio_16","global_bio_17","global_bio_18","global_bio_19","global_elev","global_foresth"
"global_atc",1,-0.604235256572466,-0.407244486016951,-0.358711377223561,0.334034012769413,-0.634974444677373,-0.489510389782554,0.223956994228535,-0.627911721607521,-0.498942526887178,-0.647845170935691,-0.526207055333748,-0.183464254251114,-0.229177627695074,-0.0307305379773212,-0.177956573198342,-0.226431317393812,-0.0393014547520564,-0.180624295248518,-0.0751013421995532,0.0903177264817517,0.0090897705302725
"global_bio_01",-0.604235256572466,1,0.511547140799294,0.817644363675508,-0.810308437907899,0.904479807712865,0.959022660132749,-0.694626506760527,0.799424485156639,0.939427515875595,0.932690203028014,0.977782024644835,0.381615296366241,0.444988581215554,0.0886431505857258,0.336964019463177,0.439963256184935,0.111470498909612,0.221863250352934,0.247107306834282,-0.122907580564744,-0.0140923788271578
"global_bio_02",-0.407244486016951,0.511547140799294,1,0.376236684334859,-0.192835786748017,0.695200352028686,0.335192208861401,0.0448973700693552,0.489407673211469,0.442483932248224,0.604781678073558,0.417876582195586,-0.228947118513215,-0.104099447761776,-0.323284527437111,0.494615833211336,-0.118505559361371,-0.326943025471469,-0.19609747947152,-0.230718663618987,0.239235047854424,0.171721601831022
"global_bio_03",-0.358711377223561,0.817644363675508,0.376236684334859,1,-0.891547641047956,0.599416295794049,0.883704274126079,-0.820743015314026,0.591039238700102,0.791234504332336,0.624256065100846,0.881140589824368,0.575811808947899,0.593478970513261,0.220728102502126,0.294039503093492,0.599522642821622,0.253004145355299,0.347950895496236,0.429536432042308,0.0407628359715079,0.0439453972049786
"global_bio_04",0.334034012769413,-0.810308437907899,-0.192835786748017,-0.891547641047956,1,-0.495093344217651,-0.934315319354743,0.969732077892877,-0.460725093034121,-0.838395569588778,-0.546484119208964,-0.913713141635277,-0.563615176587908,-0.569196591809341,-0.260886085567804,-0.175809248203347,-0.574501320172212,-0.289786115366133,-0.34735989843512,-0.41300325435623,-0.0209331128257173,0.0381470966592231
"global_bio_05",-0.634974444677373,0.904479807712865,0.695200352028686,0.599416295794049,-0.495093344217651,1,0.754753240737053,-0.327977580009666,0.848178610126046,0.799552698513016,0.990326734906247,0.801477744175715,0.127797527511402,0.228185124461679,-0.0933034377495306,0.414423088611536,0.21587059149728,-0.0811563934947455,0.0456962561591087,0.0425716168621135,-0.147780015145561,0.0293560902216583
"global_bio_06",-0.489510389782554,0.959022660132749,0.335192208861401,0.883704274126079,-0.934315319354743,0.754753240737053,1,-0.867264147124522,0.68378909332547,0.93806825576751,0.801189841413288,0.995167984195141,0.499622830767292,0.53585051327474,0.186926965626137,0.263173441318229,0.535239298168338,0.214502230388223,0.297296600116491,0.353036309613325,-0.100597066704291,-0.0410750127018199
"global_bio_07",0.223956994228535,-0.694626506760527,0.0448973700693552,-0.820743015314026,0.969732077892877,-0.327977580009666,-0.867264147124522,1,-0.341003645714282,-0.744080809611908,-0.402189697195366,-0.824846349638044,-0.622495717761368,-0.598480757832088,-0.339992619594555,-0.0644752289520805,-0.606946136482614,-0.370483930099056,-0.393442872513786,-0.476082148971869,0.032713839472882,0.081428554291418
"global_bio_08",-0.627911721607521,0.799424485156639,0.489407673211469,0.591039238700102,-0.460725093034121,0.848178610126046,0.68378909332547,-0.341003645714282,1,0.590752452046076,0.855206612677693,0.7135320393104,0.245014826554965,0.343579718657494,-0.0186558124863754,0.403589419066031,0.33297521161651,-0.00449567836751191,0.242767665563108,0.0589642950708005,-0.216824571676792,0.0175920972489283
"global_bio_09",-0.498942526887178,0.939427515875595,0.442483932248224,0.791234504332336,-0.838395569588778,0.799552698513016,0.93806825576751,-0.744080809611908,0.590752452046076,1,0.833887703752171,0.948680318147003,0.36944161450958,0.400327192722291,0.121333506661614,0.228458518444404,0.398967909543591,0.144728380853615,0.143722324103119,0.303546854894711,-0.0723600848712052,-0.026251941665731
"global_bio_10",-0.647845170935691,0.932690203028014,0.604781678073558,0.624256065100846,-0.546484119208964,0.990326734906247,0.801189841413288,-0.402189697195366,0.855206612677693,0.833887703752171,1,0.839342681274558,0.199144265843343,0.285953383171899,-0.033495676946266,0.368833328216561,0.275238980291651,-0.0184850974625878,0.0926989756957201,0.106239070040518,-0.197079984305412,0.00279126377097002
"global_bio_11",-0.526207055333748,0.977782024644835,0.417876582195586,0.881140589824368,-0.913713141635277,0.801477744175715,0.995167984195141,-0.824846349638044,0.7135320393104,0.948680318147003,0.839342681274558,1,0.460917811302112,0.507269237024309,0.150991587407571,0.294696782731125,0.505452142697133,0.177037831069778,0.268578513138105,0.318635761526897,-0.0829523484994529,-0.0236024482792555
"global_bio_12",-0.183464254251114,0.381615296366241,-0.228947118513215,0.575811808947899,-0.563615176587908,0.127797527511402,0.499622830767292,-0.622495717761368,0.245014826554965,0.36944161450958,0.199144265843343,0.460917811302112,1,0.897049671684942,0.71319097102288,-0.143204899358657,0.92339074173865,0.748530860819942,0.798463809648657,0.752273046255427,-0.0985933744645379,-0.0380240841465856
"global_bio_13",-0.229177627695074,0.444988581215554,-0.104099447761776,0.593478970513261,-0.569196591809341,0.228185124461679,0.53585051327474,-0.598480757832088,0.343579718657494,0.400327192722291,0.285953383171899,0.507269237024309,0.897049671684942,1,0.402018478768151,0.174200216926738,0.992681964745818,0.439235008101623,0.742510942148853,0.587014455418056,-0.0681021363955519,-0.0266107193882948
"global_bio_14",-0.0307305379773212,0.0886431505857258,-0.323284527437111,0.220728102502126,-0.260886085567804,-0.0933034377495306,0.186926965626137,-0.339992619594555,-0.0186558124863754,0.121333506661614,-0.033495676946266,0.150991587407571,0.71319097102288,0.402018478768151,1,-0.50730807066469,0.438601070578692,0.99345271162649,0.559683552092183,0.659754097141844,-0.115102052908354,-0.051425555899933
"global_bio_15",-0.177956573198342,0.336964019463177,0.494615833211336,0.294039503093492,-0.175809248203347,0.414423088611536,0.263173441318229,-0.0644752289520805,0.403589419066031,0.228458518444404,0.368833328216561,0.294696782731125,-0.143204899358657,0.174200216926738,-0.50730807066469,1,0.132073455973359,-0.505640547193086,-0.0742023777131646,-0.260678848930108,0.147654119534217,0.0551570603073058
"global_bio_16",-0.226431317393812,0.439963256184935,-0.118505559361371,0.599522642821622,-0.574501320172212,0.21587059149728,0.535239298168338,-0.606946136482614,0.33297521161651,0.398967909543591,0.275238980291651,0.505452142697133,0.92339074173865,0.992681964745818,0.438601070578692,0.132073455973359,1,0.475748264183894,0.76183217444845,0.614225688763961,-0.0714131725119816,-0.0266204406141076
"global_bio_17",-0.0393014547520564,0.111470498909612,-0.326943025471469,0.253004145355299,-0.289786115366133,-0.0811563934947455,0.214502230388223,-0.370483930099056,-0.00449567836751191,0.144728380853615,-0.0184850974625878,0.177037831069778,0.748530860819942,0.439235008101623,0.99345271162649,-0.505640547193086,0.475748264183894,1,0.583097144524512,0.687882232844919,-0.114258283605137,-0.0524450124267732
"global_bio_18",-0.180624295248518,0.221863250352934,-0.19609747947152,0.347950895496236,-0.34735989843512,0.0456962561591087,0.297296600116491,-0.393442872513786,0.242767665563108,0.143722324103119,0.0926989756957201,0.268578513138105,0.798463809648657,0.742510942148853,0.559683552092183,-0.0742023777131646,0.76183217444845,0.583097144524512,1,0.365570712138874,-0.0376605953029351,-0.0201268608563042
"global_bio_19",-0.0751013421995532,0.247107306834282,-0.230718663618987,0.429536432042308,-0.41300325435623,0.0425716168621135,0.353036309613325,-0.476082148971869,0.0589642950708005,0.303546854894711,0.106239070040518,0.318635761526897,0.752273046255427,0.587014455418056,0.659754097141844,-0.260678848930108,0.614225688763961,0.687882232844919,0.365570712138874,1,-0.0933418749857272,-0.0395013263532916
"global_elev",0.0903177264817517,-0.122907580564744,0.239235047854424,0.0407628359715079,-0.0209331128257173,-0.147780015145561,-0.100597066704291,0.032713839472882,-0.216824571676792,-0.0723600848712052,-0.197079984305412,-0.0829523484994529,-0.0985933744645379,-0.0681021363955519,-0.115102052908354,0.147654119534217,-0.0714131725119816,-0.114258283605137,-0.0376605953029351,-0.0933418749857272,1,0.98900931731587
"global_foresth",0.0090897705302725,-0.0140923788271578,0.171721601831022,0.0439453972049786,0.0381470966592231,0.0293560902216583,-0.0410750127018199,0.081428554291418,0.0175920972489283,-0.026251941665731,0.00279126377097002,-0.0236024482792555,-0.0380240841465856,-0.0266107193882948,-0.051425555899933,0.0551570603073058,-0.0266204406141076,-0.0524450124267732,-0.0201268608563042,-0.0395013263532916,0.98900931731587,1
